topology,workload,routing_mode,hop_count,offered_volume_gb,offered_volume_pct
Clos-4P-FullMesh,Sparse 1-to-N,ECMP,4,2.008,98.046875
DF,A2A,SHORTEST_PATH,2,11.648,1.6867469879518073
DF,A2A,SHORTEST_PATH,3,79.872,11.566265060240964
DF,A2A,SHORTEST_PATH,4,266.23999999991554,38.55421686745765
DF,A2A,SHORTEST_PATH,5,332.79999999990554,48.19277108432367
DF,Sparse 1-to-N,SHORTEST_PATH,2,0.004,0.4807692307692308
DF,Sparse 1-to-N,SHORTEST_PATH,3,0.076,9.134615384615383
DF,Sparse 1-to-N,SHORTEST_PATH,4,0.34400000000000014,41.34615384615386
DF,Sparse 1-to-N,SHORTEST_PATH,5,0.40799999999999914,49.03846153846143
SparseMesh-Local,A2A,SHORTEST_PATH,2,2.464,8.045977011494253
SparseMesh-Local,A2A,SHORTEST_PATH,3,16.896,55.172413793103445
SparseMesh-Local,A2A,SHORTEST_PATH,4,11.263999999999998,36.78160919540229
SparseMesh-Local,Sparse 1-to-N,SHORTEST_PATH,2,0.036,20.454545454545457
SparseMesh-Local,Sparse 1-to-N,SHORTEST_PATH,3,0.104,59.09090909090909
SparseMesh-Local,Sparse 1-to-N,SHORTEST_PATH,4,0.03599999999999999,20.45454545454545
SparseMesh-Global,A2A,SHORTEST_PATH,2,2.912,6.796116504854369
SparseMesh-Global,A2A,SHORTEST_PATH,3,19.968,46.601941747572816
SparseMesh-Global,A2A,SHORTEST_PATH,4,19.968,46.601941747572816
SparseMesh-Global,Sparse 1-to-N,SHORTEST_PATH,2,0.02,9.615384615384617
SparseMesh-Global,Sparse 1-to-N,SHORTEST_PATH,3,0.112,53.84615384615385
SparseMesh-Global,Sparse 1-to-N,SHORTEST_PATH,4,0.076,36.53846153846153
