topology,workload,routing_mode,hop_count,offered_volume_gb,offered_volume_pct
DF,A2A,SHORTEST_PATH,2,11.648,1.6867469879518073
DF,A2A,SHORTEST_PATH,3,79.872,11.566265060240964
DF,A2A,SHORTEST_PATH,4,266.23999999991554,38.55421686745765
DF,A2A,SHORTEST_PATH,5,332.79999999990554,48.19277108432367
DF,64 NPUs | Local 1:1 | Direct,SHORTEST_PATH,3,0.256,100.0
DF,64 NPUs | Local 1:1 | Rack Pooling,SHORTEST_PATH,3,0.0345,13.4765625
DF,64 NPUs | Local 1:1 | Rack Pooling,SHORTEST_PATH,5,0.111,43.359375
DF,64 NPUs | Local 1:1 | Rack Pooling,SHORTEST_PATH,7,0.059,23.046875
DF,64 NPUs | Local 1:1 | Rack Pooling,SHORTEST_PATH,9,0.0515,20.1171875
DF,64 NPUs | Local 1:1 | Rack Sharding,SHORTEST_PATH,3,0.064,25.0
DF,64 NPUs | Local 1:1 | Rack Sharding,SHORTEST_PATH,4,0.074,28.90625
DF,64 NPUs | Local 1:1 | Rack Sharding,SHORTEST_PATH,5,0.089,34.765625
DF,64 NPUs | Local 1:1 | Rack Sharding,SHORTEST_PATH,6,0.029,11.328125
DF,64 NPUs | Single-SSU Hotspot | Direct,SHORTEST_PATH,4,0.008,3.125
DF,64 NPUs | Single-SSU Hotspot | Direct,SHORTEST_PATH,5,0.076,29.6875
DF,64 NPUs | Single-SSU Hotspot | Direct,SHORTEST_PATH,6,0.172,67.1875
DF,64 NPUs | Single-SSU Hotspot | Rack Pooling,SHORTEST_PATH,4,0.001,0.390625
DF,64 NPUs | Single-SSU Hotspot | Rack Pooling,SHORTEST_PATH,5,0.011666666666666662,4.557291666666665
DF,64 NPUs | Single-SSU Hotspot | Rack Pooling,SHORTEST_PATH,6,0.06554761904761901,25.604538690476176
DF,64 NPUs | Single-SSU Hotspot | Rack Pooling,SHORTEST_PATH,7,0.11854761904761854,46.30766369047599
DF,64 NPUs | Single-SSU Hotspot | Rack Pooling,SHORTEST_PATH,8,0.059238095238095236,23.139880952380953
DF,64 NPUs | Single-SSU Hotspot | Rack Sharding,SHORTEST_PATH,4,0.011,4.296875
DF,64 NPUs | Single-SSU Hotspot | Rack Sharding,SHORTEST_PATH,5,0.095,37.109375
DF,64 NPUs | Single-SSU Hotspot | Rack Sharding,SHORTEST_PATH,6,0.15,58.59375
DF,64 NPUs | Rack Target-Set 4 | Direct,SHORTEST_PATH,4,0.012,4.6875
DF,64 NPUs | Rack Target-Set 4 | Direct,SHORTEST_PATH,5,0.1,39.0625
DF,64 NPUs | Rack Target-Set 4 | Direct,SHORTEST_PATH,6,0.144,56.25
DF,64 NPUs | Rack Target-Set 4 | Rack Pooling,SHORTEST_PATH,4,0.0015,0.5859375
DF,64 NPUs | Rack Target-Set 4 | Rack Pooling,SHORTEST_PATH,5,0.0139047619047619,5.431547619047618
DF,64 NPUs | Rack Target-Set 4 | Rack Pooling,SHORTEST_PATH,6,0.050680952380952334,19.797247023809504
DF,64 NPUs | Rack Target-Set 4 | Rack Pooling,SHORTEST_PATH,7,0.09611428571428565,37.54464285714283
DF,64 NPUs | Rack Target-Set 4 | Rack Pooling,SHORTEST_PATH,8,0.060847619047619025,23.76860119047618
DF,64 NPUs | Rack Target-Set 4 | Rack Pooling,SHORTEST_PATH,9,0.03295238095238096,12.872023809523814
DF,64 NPUs | Rack Target-Set 4 | Rack Sharding,SHORTEST_PATH,4,0.011,4.296875
DF,64 NPUs | Rack Target-Set 4 | Rack Sharding,SHORTEST_PATH,5,0.095,37.109375
DF,64 NPUs | Rack Target-Set 4 | Rack Sharding,SHORTEST_PATH,6,0.15,58.59375
